call-detector,mixup-alpha,secondary-label-weights,valid2020,freefield1010,grouped-by-author,cnn,epoch,f1-score,timestamp
nc,5,0.6,1,1,1,resnest50,85,0.3976,20220305175313.pth
nc,5,0.6,1,1,1,resnest50,86,0.3939,20220305175934.pth
nc,5,0.6,1,1,1,resnest50,87,0.3985,20220305180544.pth
nc,5,0.6,1,1,1,resnest50,88,0.398,20220305181203.pth
nc,5,0.6,1,1,1,resnest50,89,0.3887,20220305181814.pth
nc,5,0.6,1,1,1,resnest50,90,0.3998,20220305182430.pth
nc,5,0.6,1,1,1,resnest50,91,0.3967,20220305183041.pth
nc,5,0.6,1,1,1,resnest50,92,0.4022,20220305183652.pth
nc,5,0.6,1,1,1,resnest50,93,0.3998,20220305184303.pth
nc,5,0.6,1,1,1,resnest50,94,0.406,20220305184913.pth
nc,5,0.6,1,1,1,resnest50,95,0.4,20220305185524.pth
nc,5,0.6,1,1,1,resnest50,96,0.3972,20220305190143.pth
nc,5,0.6,1,1,1,resnest50,97,0.3977,20220305190802.pth
nc,5,0.6,1,1,1,resnest50,98,0.3908,20220305191426.pth
nc,5,0.6,1,1,1,resnest50,99,0.4015,20220305192047.pth
nnc,0.5,0.6,0,0,0,resnest50,29,0.5535,20220306081510.pth
nnc,0.5,0.6,0,0,0,resnest50,36,0.5592,20220306085738.pth
nnc,0.5,0.6,0,0,0,resnest50,40,0.5554,20220306092158.pth
nnc,0.5,0.6,0,0,0,resnest50,41,0.5528,20220306092803.pth
nnc,0.5,0.6,0,0,0,resnest50,42,0.5696,20220306093406.pth
nnc,0.5,0.6,0,0,0,resnest50,44,0.5584,20220306094614.pth
nnc,0.5,0.6,0,0,0,resnest50,46,0.5541,20220306095825.pth
nnc,0.5,0.6,0,0,0,resnest50,48,0.5548,20220306101032.pth
nnc,0.5,0.6,0,0,0,resnest50,49,0.5566,20220306101638.pth
nnc,0.5,0.6,0,0,0,resnest50,51,0.5573,20220306102848.pth
nnc,0.5,0.6,0,0,0,resnest50,53,0.5576,20220306104100.pth
nnc,0.5,0.6,0,0,0,resnest50,56,0.5695,20220306105914.pth
nnc,0.5,0.6,0,0,0,resnest50,57,0.5591,20220306110521.pth
nnc,0.5,0.6,0,0,0,resnest50,58,0.5568,20220306111129.pth
nnc,0.5,0.6,0,0,0,resnest50,60,0.5551,20220306112339.pth
nnc,0.5,0.6,0,0,0,resnest50,61,0.5648,20220306112946.pth
nnc,0.5,0.6,0,0,0,resnest50,64,0.5679,20220306114805.pth
nnc,0.5,0.6,0,0,0,resnest50,65,0.562,20220306115412.pth
nnc,0.5,0.6,0,0,0,resnest50,66,0.5604,20220306120019.pth
nnc,0.5,0.6,0,0,0,resnest50,67,0.5546,20220306120623.pth
nnc,0.5,0.6,0,0,0,resnest50,68,0.5624,20220306121227.pth
nnc,0.5,0.6,0,0,0,resnest50,69,0.5713,20220306121832.pth
nnc,0.5,0.6,0,0,0,resnest50,70,0.5658,20220306122438.pth
nnc,0.5,0.6,0,0,0,resnest50,71,0.5599,20220306123043.pth
nnc,0.5,0.6,0,0,0,resnest50,72,0.5563,20220306123647.pth
nnc,0.5,0.6,0,0,0,resnest50,73,0.5594,20220306124252.pth
nnc,0.5,0.6,0,0,0,resnest50,74,0.5609,20220306124857.pth
nnc,0.5,0.6,0,0,0,resnest50,75,0.5558,20220306125501.pth
nnc,0.5,0.6,0,0,0,resnest50,76,0.5729,20220306130106.pth
nnc,0.5,0.6,0,0,0,resnest50,78,0.5527,20220306131314.pth
nnc,0.5,0.6,0,0,0,resnest50,79,0.5672,20220306131920.pth
nnc,0.5,0.6,0,0,0,resnest50,80,0.5629,20220306132528.pth
nnc,0.5,0.6,0,0,0,resnest50,81,0.5688,20220306133130.pth
nnc,0.5,0.6,0,0,0,resnest50,82,0.566,20220306133734.pth
nnc,0.5,0.6,0,0,0,resnest50,83,0.5612,20220306134338.pth
nnc,0.5,0.6,0,0,0,resnest50,85,0.571,20220306135545.pth
nnc,0.5,0.6,0,0,0,resnest50,86,0.5661,20220306140150.pth
nnc,0.5,0.6,0,0,0,resnest50,87,0.5649,20220306140753.pth
nnc,0.5,0.6,0,0,0,resnest50,88,0.5584,20220306141358.pth
nnc,0.5,0.6,0,0,0,resnest50,89,0.5583,20220306142002.pth
nnc,0.5,0.6,0,0,0,resnest50,90,0.5711,20220306142608.pth
nnc,0.5,0.6,0,0,0,resnest50,91,0.5655,20220306143214.pth
nnc,0.5,0.6,0,0,0,resnest50,92,0.5618,20220306143820.pth
nnc,0.5,0.6,0,0,0,resnest50,93,0.5556,20220306144425.pth
nnc,0.5,0.6,0,0,0,resnest50,94,0.5651,20220306145031.pth
nnc,0.5,0.6,0,0,0,resnest50,95,0.567,20220306145637.pth
nnc,0.5,0.6,0,0,0,resnest50,96,0.5547,20220306150243.pth
nnc,0.5,0.6,0,0,0,resnest50,97,0.5635,20220306150848.pth
nnc,0.5,0.6,0,0,0,resnest50,98,0.5637,20220306151455.pth
nnc,0.5,0.6,0,0,0,resnest50,99,0.5627,20220306152102.pth
nnc,5,0.6,0,0,0,resnest50,92,0.5878,20220302235914.pth
nnc,5,0.6,0,0,0,resnest50,85,0.586,20220302231833.pth
nnc,5,0.6,0,0,0,resnest50,95,0.5858,20220303001642.pth
nnc,5,0.6,0,0,0,resnest50,89,0.5838,20220302234151.pth
nnc,5,0.6,0,0,0,resnest50,76,0.5833,20220302222611.pth
nnc,5,0.6,0,0,0,resnest50,96,0.5828,20220303002230.pth
